Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-05-28 06:15:00,2024-05-28 08:30:00,CAI,JED,Nile Air,2 hr 15 min,91.0,0,,2024-05-27,,
2024-05-28 09:45:00,2024-05-28 12:00:00,CAI,JED,Flyadeal,2 hr 15 min,94.0,0,,2024-05-27,110.0,0.0
2024-05-28 09:25:00,2024-05-28 11:50:00,CAI,JED,Flynas,2 hr 25 min,99.0,0,,2024-05-27,97.0,-16.0
2024-05-28 14:05:00,2024-05-28 16:20:00,CAI,JED,Price unavailable,2 hr 15 min,,0,,2024-05-27,134.0,17.0
2024-05-28 18:10:00,2024-05-28 20:35:00,CAI,JED,Flynas,2 hr 25 min,94.0,0,,2024-05-27,97.0,-16.0
2024-05-28 19:05:00,2024-05-28 21:30:00,CAI,JED,Flynas,2 hr 25 min,94.0,0,,2024-05-27,97.0,-16.0
2024-05-28 21:15:00,2024-05-29 00:00:00,CAI,JED,Flyadeal,2 hr 45 min,94.0,0,,2024-05-27,110.0,0.0
2024-05-28 15:35:00,2024-05-28 18:00:00,CAI,JED,Flynas,2 hr 25 min,99.0,0,,2024-05-27,97.0,-16.0
2024-05-28 22:00:00,2024-05-29 00:25:00,CAI,JED,Flynas,2 hr 25 min,99.0,0,,2024-05-27,97.0,-16.0
2024-05-28 11:25:00,2024-05-28 13:45:00,CAI,JED,Air Cairo,2 hr 20 min,104.0,0,,2024-05-27,113.0,0.0
2024-05-28 19:10:00,2024-05-28 21:30:00,CAI,JED,Air Cairo,2 hr 20 min,104.0,0,,2024-05-27,115.0,0.0
2024-05-28 04:20:00,2024-05-28 06:40:00,CAI,JED,Air Cairo,2 hr 20 min,111.0,0,,2024-05-27,113.0,0.0
2024-05-28 06:00:00,2024-05-28 08:10:00,CAI,JED,Air Arabia Egypt,2 hr 10 min,111.0,0,,2024-05-27,117.0,0.0
2024-05-28 14:55:00,2024-05-28 17:05:00,CAI,JED,FlyEgypt,2 hr 10 min,113.0,0,,2024-05-27,117.0,0.0
2024-05-28 12:45:00,2024-05-28 15:00:00,CAI,JED,Nile Air,2 hr 15 min,116.0,0,,2024-05-27,122.0,6.0
2024-05-28 02:35:00,2024-05-28 04:45:00,CAI,JED,EgyptAir,2 hr 10 min,169.0,0,,2024-05-27,139.0,21.0
2024-05-28 03:45:00,2024-05-28 06:05:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-28 12:40:00,2024-05-28 15:00:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-28 15:10:00,2024-05-28 17:30:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-28 16:10:00,2024-05-28 18:30:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-28 17:50:00,2024-05-28 20:10:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-28 20:50:00,2024-05-28 23:10:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-28 15:20:00,2024-05-28 17:30:00,CAI,JED,EgyptAir,2 hr 10 min,256.0,0,,2024-05-27,142.0,23.0
2024-05-28 19:50:00,2024-05-28 22:00:00,CAI,JED,EgyptAir,2 hr 10 min,256.0,0,,2024-05-27,139.0,21.0
2024-05-28 00:55:00,2024-05-28 03:15:00,CAI,JED,Saudia,2 hr 20 min,277.0,0,,2024-05-27,115.0,0.0
2024-05-28 08:00:00,2024-05-28 10:10:00,CAI,JED,EgyptAir,2 hr 10 min,353.0,0,,2024-05-27,566.0,392.0
2024-05-29 09:25:00,2024-05-29 11:50:00,CAI,JED,Flynas,2 hr 25 min,94.0,0,,2024-05-27,97.0,-16.0
2024-05-29 09:45:00,2024-05-29 12:00:00,CAI,JED,Flyadeal,2 hr 15 min,94.0,0,,2024-05-27,110.0,0.0
2024-05-29 18:35:00,2024-05-29 20:40:00,CAI,JED,FlyEgypt,2 hr 5 min,97.0,0,,2024-05-27,117.0,0.0
2024-05-29 10:00:00,2024-05-29 12:00:00,CAI,JED,Price unavailable,2 hr,,0,,2024-05-27,163.0,42.0
2024-05-29 11:35:00,2024-05-29 13:50:00,CAI,JED,Price unavailable,2 hr 15 min,,0,,2024-05-27,114.0,0.0
2024-05-29 15:35:00,2024-05-29 18:00:00,CAI,JED,Flynas,2 hr 25 min,94.0,0,,2024-05-27,97.0,-16.0
2024-05-29 18:10:00,2024-05-29 20:35:00,CAI,JED,Flynas,2 hr 25 min,94.0,0,,2024-05-27,97.0,-16.0
2024-05-29 19:05:00,2024-05-29 21:30:00,CAI,JED,Flynas,2 hr 25 min,94.0,0,,2024-05-27,97.0,-16.0
2024-05-29 21:15:00,2024-05-30 00:00:00,CAI,JED,Flyadeal,2 hr 45 min,94.0,0,,2024-05-27,110.0,0.0
2024-05-29 01:15:00,2024-05-29 03:40:00,CAI,JED,Flynas,2 hr 25 min,99.0,0,,2024-05-27,97.0,-16.0
2024-05-29 22:00:00,2024-05-30 00:25:00,CAI,JED,Flynas,2 hr 25 min,99.0,0,,2024-05-27,97.0,-16.0
2024-05-29 06:00:00,2024-05-29 08:10:00,CAI,JED,Air Arabia Egypt,2 hr 10 min,104.0,0,,2024-05-27,117.0,0.0
2024-05-29 04:00:00,2024-05-29 06:20:00,CAI,JED,Air Cairo,2 hr 20 min,111.0,0,,2024-05-27,113.0,0.0
2024-05-29 06:50:00,2024-05-29 09:10:00,CAI,JED,Air Cairo,2 hr 20 min,111.0,0,,2024-05-27,115.0,0.0
2024-05-29 05:40:00,2024-05-29 07:55:00,CAI,JED,Nile Air,2 hr 15 min,116.0,0,,2024-05-27,122.0,6.0
2024-05-29 12:45:00,2024-05-29 15:00:00,CAI,JED,Nile Air,2 hr 15 min,116.0,0,,2024-05-27,122.0,6.0
2024-05-29 00:55:00,2024-05-29 03:15:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-29 03:45:00,2024-05-29 06:05:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-29 12:40:00,2024-05-29 15:00:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-29 15:10:00,2024-05-29 17:30:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-29 16:10:00,2024-05-29 18:30:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-29 17:50:00,2024-05-29 20:10:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-29 20:50:00,2024-05-29 23:10:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-29 08:00:00,2024-05-29 10:10:00,CAI,JED,EgyptAir,2 hr 10 min,256.0,0,,2024-05-27,139.0,21.0
2024-05-29 15:20:00,2024-05-29 17:30:00,CAI,JED,EgyptAir,2 hr 10 min,256.0,0,,2024-05-27,142.0,23.0
2024-05-29 19:50:00,2024-05-29 22:00:00,CAI,JED,EgyptAir,2 hr 10 min,256.0,0,,2024-05-27,139.0,21.0
2024-05-29 21:20:00,2024-05-29 23:30:00,CAI,JED,EgyptAir,2 hr 10 min,256.0,0,,2024-05-27,134.0,17.0
2024-05-29 02:35:00,2024-05-29 04:45:00,CAI,JED,EgyptAir,2 hr 10 min,353.0,0,,2024-05-27,457.0,297.0
2024-05-30 23:35:00,2024-05-31 01:45:00,CAI,JED,Flyadeal,2 hr 10 min,80.0,0,,2024-05-27,110.0,0.0
2024-05-30 09:25:00,2024-05-30 11:50:00,CAI,JED,Flynas,2 hr 25 min,94.0,0,,2024-05-27,97.0,-16.0
2024-05-30 06:00:00,2024-05-30 08:10:00,CAI,JED,Air Arabia Egypt,2 hr 10 min,107.0,0,,2024-05-27,117.0,0.0
2024-05-30 11:35:00,2024-05-30 13:50:00,CAI,JED,Price unavailable,2 hr 15 min,,0,,2024-05-27,114.0,0.0
2024-05-30 01:15:00,2024-05-30 03:40:00,CAI,JED,Flynas,2 hr 25 min,94.0,0,,2024-05-27,97.0,-16.0
2024-05-30 15:35:00,2024-05-30 18:00:00,CAI,JED,Flynas,2 hr 25 min,99.0,0,,2024-05-27,97.0,-16.0
2024-05-30 18:10:00,2024-05-30 20:35:00,CAI,JED,Flynas,2 hr 25 min,99.0,0,,2024-05-27,97.0,-16.0
2024-05-30 22:00:00,2024-05-31 00:25:00,CAI,JED,Flynas,2 hr 25 min,99.0,0,,2024-05-27,97.0,-16.0
2024-05-30 19:05:00,2024-05-30 21:30:00,CAI,JED,Flynas,2 hr 25 min,104.0,0,,2024-05-27,97.0,-16.0
2024-05-30 18:55:00,2024-05-30 21:15:00,CAI,JED,Air Cairo,2 hr 20 min,111.0,0,,2024-05-27,115.0,0.0
2024-05-30 09:45:00,2024-05-30 12:00:00,CAI,JED,Flyadeal,2 hr 15 min,112.0,0,,2024-05-27,110.0,0.0
2024-05-30 04:50:00,2024-05-30 07:05:00,CAI,JED,Nile Air,2 hr 15 min,116.0,0,,2024-05-27,122.0,6.0
2024-05-30 12:45:00,2024-05-30 15:00:00,CAI,JED,Nile Air,2 hr 15 min,116.0,0,,2024-05-27,110.0,0.0
2024-05-30 03:45:00,2024-05-30 06:05:00,CAI,JED,Air Cairo,2 hr 20 min,118.0,0,,2024-05-27,115.0,0.0
2024-05-30 10:20:00,2024-05-30 12:40:00,CAI,JED,Air Cairo,2 hr 20 min,118.0,0,,2024-05-27,113.0,0.0
2024-05-30 21:15:00,2024-05-31 00:00:00,CAI,JED,Flyadeal,2 hr 45 min,128.0,0,,2024-05-27,110.0,0.0
2024-05-30 02:35:00,2024-05-30 04:45:00,CAI,JED,EgyptAir,2 hr 10 min,169.0,0,,2024-05-27,114.0,0.0
2024-05-30 08:00:00,2024-05-30 10:10:00,CAI,JED,EgyptAir,2 hr 10 min,169.0,0,,2024-05-27,142.0,23.0
2024-05-30 19:50:00,2024-05-30 22:00:00,CAI,JED,EgyptAir,2 hr 10 min,169.0,0,,2024-05-27,139.0,21.0
2024-05-30 12:40:00,2024-05-30 15:00:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-30 15:10:00,2024-05-30 17:30:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-30 16:10:00,2024-05-30 18:30:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-30 17:50:00,2024-05-30 20:10:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-30 20:50:00,2024-05-30 23:10:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,118.0,0.0
2024-05-30 23:05:00,2024-05-31 01:25:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-30 15:20:00,2024-05-30 17:30:00,CAI,JED,EgyptAir,2 hr 10 min,256.0,0,,2024-05-27,142.0,23.0
2024-05-30 21:20:00,2024-05-30 23:30:00,CAI,JED,EgyptAir,2 hr 10 min,256.0,0,,2024-05-27,139.0,21.0
2024-05-30 00:55:00,2024-05-30 03:15:00,CAI,JED,Saudia,2 hr 20 min,277.0,0,,2024-05-27,115.0,0.0
2024-05-30 00:30:00,2024-05-30 02:40:00,CAI,JED,EgyptAir,2 hr 10 min,353.0,0,,2024-05-27,566.0,392.0
2024-05-31 09:25:00,2024-05-31 11:50:00,CAI,JED,Flynas,2 hr 25 min,94.0,0,,2024-05-27,97.0,-16.0
2024-05-31 10:20:00,2024-05-31 12:40:00,CAI,JED,Air Cairo,2 hr 20 min,104.0,0,,2024-05-27,113.0,0.0
2024-05-31 06:00:00,2024-05-31 08:10:00,CAI,JED,Air Arabia Egypt,2 hr 10 min,105.0,0,,2024-05-27,117.0,0.0
2024-05-31 18:25:00,2024-05-31 20:40:00,CAI,JED,Price unavailable,2 hr 15 min,,0,,2024-05-27,134.0,17.0
2024-05-31 01:15:00,2024-05-31 03:40:00,CAI,JED,Flynas,2 hr 25 min,94.0,0,,2024-05-27,97.0,-16.0
2024-05-31 15:35:00,2024-05-31 18:00:00,CAI,JED,Flynas,2 hr 25 min,99.0,0,,2024-05-27,97.0,-16.0
2024-05-31 18:10:00,2024-05-31 20:35:00,CAI,JED,Flynas,2 hr 25 min,99.0,0,,2024-05-27,97.0,-16.0
2024-05-31 19:05:00,2024-05-31 21:30:00,CAI,JED,Flynas,2 hr 25 min,99.0,0,,2024-05-27,97.0,-16.0
2024-05-31 22:00:00,2024-06-01 00:25:00,CAI,JED,Flynas,2 hr 25 min,99.0,0,,2024-05-27,97.0,-16.0
2024-05-31 04:20:00,2024-05-31 06:40:00,CAI,JED,Air Cairo,2 hr 20 min,111.0,0,,2024-05-27,113.0,0.0
2024-05-31 23:35:00,2024-06-01 01:45:00,CAI,JED,Flyadeal,2 hr 10 min,112.0,0,,2024-05-27,110.0,0.0
2024-05-31 17:45:00,2024-05-31 19:55:00,CAI,JED,FlyEgypt,2 hr 10 min,113.0,0,,2024-05-27,117.0,0.0
2024-05-31 05:40:00,2024-05-31 07:55:00,CAI,JED,Nile Air,2 hr 15 min,116.0,0,,2024-05-27,122.0,6.0
2024-05-31 12:45:00,2024-05-31 15:00:00,CAI,JED,Nile Air,2 hr 15 min,116.0,0,,2024-05-27,122.0,6.0
2024-05-31 20:10:00,2024-05-31 22:30:00,CAI,JED,Air Cairo,2 hr 20 min,118.0,0,,2024-05-27,113.0,0.0
2024-05-31 09:45:00,2024-05-31 12:00:00,CAI,JED,Flyadeal,2 hr 15 min,120.0,0,,2024-05-27,110.0,0.0
2024-05-31 21:15:00,2024-06-01 00:00:00,CAI,JED,Flyadeal,2 hr 45 min,120.0,0,,2024-05-27,110.0,0.0
2024-05-31 03:45:00,2024-05-31 06:05:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-31 12:40:00,2024-05-31 15:00:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-31 15:10:00,2024-05-31 17:30:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-31 16:10:00,2024-05-31 18:30:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-31 17:50:00,2024-05-31 20:10:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-31 20:50:00,2024-05-31 23:10:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,118.0,0.0
2024-05-31 23:05:00,2024-06-01 01:25:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-31 00:55:00,2024-05-31 03:15:00,CAI,JED,Saudia,2 hr 20 min,222.0,0,,2024-05-27,115.0,0.0
2024-05-31 05:00:00,2024-05-31 07:15:00,CAI,JED,Price unavailable,2 hr 15 min,,0,,2024-05-27,114.0,0.0
2024-06-01 09:25:00,2024-06-01 11:50:00,CAI,JED,Flynas,2 hr 25 min,99.0,0,,2024-05-27,97.0,-16.0
2024-06-01 08:00:00,2024-06-01 10:10:00,CAI,JED,Air Arabia Egypt,2 hr 10 min,103.0,0,,2024-05-27,117.0,0.0
2024-06-01 04:20:00,2024-06-01 06:40:00,CAI,JED,Air Cairo,2 hr 20 min,104.0,0,,2024-05-27,115.0,0.0
2024-06-01 18:25:00,2024-06-01 20:40:00,CAI,JED,Price unavailable,2 hr 15 min,,0,,2024-05-27,114.0,0.0
2024-06-01 01:15:00,2024-06-01 03:40:00,CAI,JED,Flynas,2 hr 25 min,99.0,0,,2024-05-27,97.0,-16.0
2024-06-01 11:15:00,2024-06-01 13:35:00,CAI,JED,Air Cairo,2 hr 20 min,104.0,0,,2024-05-27,113.0,0.0
2024-06-01 18:55:00,2024-06-01 21:05:00,CAI,JED,FlyEgypt,2 hr 10 min,113.0,0,,2024-05-27,117.0,0.0
2024-06-01 15:35:00,2024-06-01 18:00:00,CAI,JED,Flynas,2 hr 25 min,120.0,0,,2024-05-27,97.0,-16.0
2024-06-01 09:45:00,2024-06-01 12:00:00,CAI,JED,Flyadeal,2 hr 15 min,128.0,0,,2024-05-27,110.0,0.0
2024-06-01 18:10:00,2024-06-01 20:35:00,CAI,JED,Flynas,2 hr 25 min,128.0,0,,2024-05-27,97.0,-16.0
2024-06-01 19:05:00,2024-06-01 21:30:00,CAI,JED,Flynas,2 hr 25 min,128.0,0,,2024-05-27,97.0,-16.0
2024-06-01 22:00:00,2024-06-02 00:25:00,CAI,JED,Flynas,2 hr 25 min,128.0,0,,2024-05-27,97.0,-16.0
2024-06-01 23:35:00,2024-06-02 01:45:00,CAI,JED,Flyadeal,2 hr 10 min,136.0,0,,2024-05-27,110.0,0.0
2024-06-01 05:40:00,2024-06-01 07:55:00,CAI,JED,Nile Air,2 hr 15 min,155.0,0,,2024-05-27,122.0,6.0
2024-06-01 21:15:00,2024-06-02 00:00:00,CAI,JED,Flyadeal,2 hr 45 min,174.0,0,,2024-05-27,110.0,0.0
2024-06-01 00:55:00,2024-06-01 03:15:00,CAI,JED,Saudia,2 hr 20 min,222.0,0,,2024-05-27,115.0,0.0
2024-06-01 03:45:00,2024-06-01 06:05:00,CAI,JED,Saudia,2 hr 20 min,222.0,0,,2024-05-27,115.0,0.0
2024-06-01 16:10:00,2024-06-01 18:30:00,CAI,JED,Saudia,2 hr 20 min,277.0,0,,2024-05-27,115.0,0.0
2024-06-01 17:50:00,2024-06-01 20:10:00,CAI,JED,Saudia,2 hr 20 min,277.0,0,,2024-05-27,115.0,0.0
2024-06-01 20:50:00,2024-06-01 23:10:00,CAI,JED,Saudia,2 hr 20 min,277.0,0,,2024-05-27,118.0,0.0
2024-06-01 23:05:00,2024-06-02 01:25:00,CAI,JED,Saudia,2 hr 20 min,277.0,0,,2024-05-27,115.0,0.0
2024-06-01 12:40:00,2024-06-01 15:00:00,CAI,JED,Saudia,2 hr 20 min,301.0,0,,2024-05-27,118.0,0.0
2024-06-01 15:10:00,2024-06-01 17:30:00,CAI,JED,Saudia,2 hr 20 min,384.0,0,,2024-05-27,115.0,0.0
2024-06-01 03:25:00,2024-06-01 05:40:00,CAI,JED,Price unavailable,2 hr 15 min,,0,,2024-05-27,114.0,0.0
2024-06-02 09:45:00,2024-06-02 12:00:00,CAI,JED,Flyadeal,2 hr 15 min,70.0,0,,2024-05-27,110.0,0.0
2024-06-02 23:35:00,2024-06-03 01:45:00,CAI,JED,Flyadeal,2 hr 10 min,70.0,0,,2024-05-27,110.0,0.0
2024-06-02 09:25:00,2024-06-02 11:50:00,CAI,JED,Flynas,2 hr 25 min,88.0,0,,2024-05-27,97.0,-16.0
2024-06-02 05:45:00,2024-06-02 08:00:00,CAI,JED,Price unavailable,2 hr 15 min,,0,,2024-05-27,134.0,17.0
2024-06-02 15:15:00,2024-06-02 17:15:00,CAI,JED,Price unavailable,2 hr,,0,,2024-05-27,163.0,42.0
2024-06-02 21:15:00,2024-06-03 00:00:00,CAI,JED,Flyadeal,2 hr 45 min,70.0,0,,2024-05-27,110.0,0.0
2024-06-02 18:10:00,2024-06-02 20:35:00,CAI,JED,Flynas,2 hr 25 min,88.0,0,,2024-05-27,97.0,-16.0
2024-06-02 19:05:00,2024-06-02 21:30:00,CAI,JED,Flynas,2 hr 25 min,88.0,0,,2024-05-27,97.0,-16.0
2024-06-02 22:00:00,2024-06-03 00:25:00,CAI,JED,Flynas,2 hr 25 min,94.0,0,,2024-05-27,97.0,-16.0
2024-06-02 15:30:00,2024-06-02 17:40:00,CAI,JED,FlyEgypt,2 hr 10 min,97.0,0,,2024-05-27,117.0,0.0
2024-06-02 15:35:00,2024-06-02 18:00:00,CAI,JED,Flynas,2 hr 25 min,99.0,0,,2024-05-27,97.0,-16.0
2024-06-02 06:00:00,2024-06-02 08:10:00,CAI,JED,Air Arabia Egypt,2 hr 10 min,103.0,0,,2024-05-27,117.0,0.0
2024-06-02 20:05:00,2024-06-02 22:25:00,CAI,JED,Air Cairo,2 hr 20 min,104.0,0,,2024-05-27,113.0,0.0
2024-06-02 03:50:00,2024-06-02 06:00:00,CAI,JED,FlyEgypt,2 hr 10 min,113.0,0,,2024-05-27,117.0,0.0
2024-06-02 14:10:00,2024-06-02 16:30:00,CAI,JED,Air Cairo,2 hr 20 min,118.0,0,,2024-05-27,115.0,0.0
2024-06-02 01:15:00,2024-06-02 03:40:00,CAI,JED,Flynas,2 hr 25 min,120.0,0,,2024-05-27,97.0,-16.0
2024-06-02 04:20:00,2024-06-02 06:40:00,CAI,JED,Air Cairo,2 hr 20 min,127.0,0,,2024-05-27,115.0,0.0
2024-06-02 12:45:00,2024-06-02 15:00:00,CAI,JED,Nile Air,2 hr 15 min,140.0,0,,2024-05-27,110.0,0.0
2024-06-02 17:50:00,2024-06-02 20:10:00,CAI,JED,Saudia,2 hr 20 min,157.0,0,,2024-05-27,118.0,0.0
2024-06-02 20:50:00,2024-06-02 23:10:00,CAI,JED,Saudia,2 hr 20 min,157.0,0,,2024-05-27,115.0,0.0
2024-06-02 00:55:00,2024-06-02 03:15:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-06-02 03:45:00,2024-06-02 06:05:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-06-02 15:10:00,2024-06-02 17:30:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-06-02 16:10:00,2024-06-02 18:30:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-06-02 12:40:00,2024-06-02 15:00:00,CAI,JED,Saudia,2 hr 20 min,238.0,0,,2024-05-27,115.0,0.0
2024-06-03 09:45:00,2024-06-03 12:00:00,CAI,JED,Flyadeal,2 hr 15 min,70.0,0,,2024-05-27,110.0,0.0
2024-06-03 23:35:00,2024-06-04 01:45:00,CAI,JED,Flyadeal,2 hr 10 min,70.0,0,,2024-05-27,110.0,0.0
2024-06-03 09:25:00,2024-06-03 11:50:00,CAI,JED,Flynas,2 hr 25 min,88.0,0,,2024-05-27,97.0,-16.0
2024-06-03 11:15:00,2024-06-03 13:30:00,CAI,JED,Price unavailable,2 hr 15 min,,0,,2024-05-27,114.0,0.0
2024-06-03 21:15:00,2024-06-04 00:00:00,CAI,JED,Flyadeal,2 hr 45 min,70.0,0,,2024-05-27,110.0,0.0
2024-06-03 01:15:00,2024-06-03 03:40:00,CAI,JED,Flynas,2 hr 25 min,88.0,0,,2024-05-27,97.0,-16.0
2024-06-03 15:35:00,2024-06-03 18:00:00,CAI,JED,Flynas,2 hr 25 min,88.0,0,,2024-05-27,97.0,-16.0
2024-06-03 18:10:00,2024-06-03 20:35:00,CAI,JED,Flynas,2 hr 25 min,88.0,0,,2024-05-27,97.0,-16.0
2024-06-03 19:05:00,2024-06-03 21:30:00,CAI,JED,Flynas,2 hr 25 min,88.0,0,,2024-05-27,97.0,-16.0
2024-06-03 22:00:00,2024-06-04 00:25:00,CAI,JED,Flynas,2 hr 25 min,88.0,0,,2024-05-27,97.0,-16.0
2024-06-03 15:00:00,2024-06-03 17:10:00,CAI,JED,FlyEgypt,2 hr 10 min,97.0,0,,2024-05-27,117.0,0.0
2024-06-03 06:00:00,2024-06-03 08:10:00,CAI,JED,Air Arabia Egypt,2 hr 10 min,101.0,0,,2024-05-27,117.0,0.0
2024-06-03 04:00:00,2024-06-03 06:20:00,CAI,JED,Air Cairo,2 hr 20 min,104.0,0,,2024-05-27,108.0,-6.0
2024-06-03 10:20:00,2024-06-03 12:40:00,CAI,JED,Air Cairo,2 hr 20 min,104.0,0,,2024-05-27,113.0,0.0
2024-06-03 18:55:00,2024-06-03 21:15:00,CAI,JED,Air Cairo,2 hr 20 min,104.0,0,,2024-05-27,115.0,0.0
2024-06-03 04:40:00,2024-06-03 06:55:00,CAI,JED,Nile Air,2 hr 15 min,116.0,0,,2024-05-27,110.0,0.0
2024-06-03 13:45:00,2024-06-03 16:00:00,CAI,JED,Nile Air,2 hr 15 min,116.0,0,,2024-05-27,110.0,0.0
2024-06-03 03:45:00,2024-06-03 06:05:00,CAI,JED,Saudia,2 hr 20 min,157.0,0,,2024-05-27,115.0,0.0
2024-06-03 15:10:00,2024-06-03 17:30:00,CAI,JED,Saudia,2 hr 20 min,157.0,0,,2024-05-27,115.0,0.0
2024-06-03 16:10:00,2024-06-03 18:30:00,CAI,JED,Saudia,2 hr 20 min,157.0,0,,2024-05-27,115.0,0.0
2024-06-03 17:50:00,2024-06-03 20:10:00,CAI,JED,Saudia,2 hr 20 min,157.0,0,,2024-05-27,115.0,0.0
2024-06-03 20:50:00,2024-06-03 23:10:00,CAI,JED,Saudia,2 hr 20 min,157.0,0,,2024-05-27,118.0,0.0
2024-06-03 00:55:00,2024-06-03 03:15:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-06-03 12:40:00,2024-06-03 15:00:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-06-03 03:25:00,2024-06-03 05:40:00,CAI,JED,Price unavailable,2 hr 15 min,,0,,2024-05-27,134.0,17.0
2024-06-03 03:50:00,2024-06-03 06:05:00,CAI,JED,Price unavailable,2 hr 15 min,,0,,2024-05-27,114.0,0.0
